Setup title,"I/V Sweep_0_-3V"
Classic test name,"I/V Sweep"
Test date,2/8/2023
Test time,16:29:46
Device ID,
Count,2
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-3
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.578E-11
-0.01,1.335E-11
-0.02,1.114E-11
-0.03,1.012E-11
-0.04,8.88E-12
-0.05,7.45E-12
-0.06,6.19E-12
-0.07,4.65E-12
-0.08,4.23E-12
-0.09,3.72E-12
-0.1,2.61E-12
-0.11,1.35E-12
-0.12,7E-13
-0.13,3.7E-13
-0.14,-2.4E-13
-0.15,-1.49E-12
-0.16,-1.44E-12
-0.17,-1.23E-12
-0.18,-2.09E-12
-0.19,-2.77E-12
-0.2,-2.7E-12
-0.21,-3.44E-12
-0.22,-4.25E-12
-0.23,-4.49E-12
-0.24,-4.82E-12
-0.25,-4.42E-12
-0.26,-5.13E-12
-0.27,-5.86E-12
-0.28,-5.85E-12
-0.29,-5.94E-12
-0.3,-6.47E-12
-0.31,-7.03E-12
-0.32,-6.9E-12
-0.33,-6.95E-12
-0.34,-7.383E-11
-0.35,-1.7087E-10
-0.36,-1.3597E-10
-0.37,-9.508E-11
-0.38,-6.744E-11
-0.39,-5.261E-11
-0.4,-4.039E-11
-0.41,-3.536E-11
-0.42,-2.442E-11
-0.43,-2.913E-11
-0.44,-2.564E-11
-0.45,-2.227E-11
-0.46,-1.732E-11
-0.47,-9.62E-12
-0.48,6.73E-12
-0.49,7.63E-12
-0.5,6.02E-12
-0.51,5.33E-12
-0.52,4.81E-12
-0.53,4E-12
-0.54,2.97E-12
-0.55,-6.781E-11
-0.56,-5.612E-11
-0.57,-4.013E-11
-0.58,-3.076E-11
-0.59,-2.389E-11
-0.6,-2.634E-11
-0.61,-1.931E-11
-0.62,-1.773E-11
-0.63,-1.832E-11
-0.64,-1.428E-11
-0.65,-1.268E-11
-0.66,-1.421E-11
-0.67,-1.701E-11
-0.68,-1.576E-11
-0.69,-1.604E-11
-0.7,-1.699E-11
-0.71,-1.835E-11
-0.72,3.29E-12
-0.73,2.64E-12
-0.74,2.36E-12
-0.75,2.46E-12
-0.76,2.37E-12
-0.77,1.18E-12
-0.78,7.3E-13
-0.79,4E-13
-0.8,-5.7E-13
-0.81,-1.3E-12
-0.82,-1.79E-12
-0.83,-1.92E-12
-0.84,-3.16E-12
-0.85,-3.85E-12
-0.86,-4.38E-12
-0.87,-4.77E-12
-0.88,-5.53E-12
-0.89,-6.23E-12
