Time,I1
0.03639,2.40964E-09
0.25087,1.47844E-09
0.50434,1.03646E-09
0.75068,8.0232E-10
1.00562,6.4884E-10
1.25313,5.4209E-10
1.50087,4.6918E-10
1.755,4.0914E-10
2.00083,3.6305E-10
2.25088,3.2901E-10
2.50086,2.9767E-10
2.75073,2.7285E-10
3.00089,2.5184E-10
3.25084,2.3318E-10
3.5009,2.1649E-10
3.75095,2.0246E-10
4.0029,1.8941E-10
4.25313,1.7854E-10
4.50316,1.712E-10
4.75366,1.6055E-10
5.0042,1.5159E-10
5.25562,1.4542E-10
5.50568,1.3951E-10
5.75636,1.3278E-10
6.00085,1.2726E-10
6.25084,1.2169E-10
6.50088,1.1649E-10
6.75073,1.1297E-10
7.00089,1.0841E-10
7.25082,1.0471E-10
7.50085,1.0211E-10
7.75069,9.92E-11
8.00255,9.603E-11
8.25308,9.221E-11
8.50313,9.109E-11
8.75371,8.679E-11
9.00421,8.484E-11
9.25421,8.304E-11
9.50562,8.09E-11
9.7564,7.812E-11
10.0069,7.601E-11
10.25164,7.442E-11
10.50085,7.257E-11
10.75069,6.97E-11
11.00083,6.931E-11
11.25164,6.637E-11
11.50085,6.442E-11
11.75074,6.337E-11
12.0016,6.219E-11
12.25254,6.013E-11
12.50309,5.86E-11
12.75231,5.738E-11
13.0028,5.549E-11
13.25422,5.605E-11
13.50426,5.351E-11
13.755,5.133E-11
14.00555,5.007E-11
14.25611,5.019E-11
14.50082,4.972E-11
14.75073,4.819E-11
15.00164,4.755E-11
15.25159,4.462E-11
15.5016,2.975E-11
15.75069,2.858E-11
16.00163,3.015E-11
16.2516,2.849E-11
16.50256,2.985E-11
16.75235,2.855E-11
17.00278,2.738E-11
17.25337,2.8E-11
17.50422,3.041E-11
17.75505,2.761E-11
18.0055,2.736E-11
18.25619,2.668E-11
18.50693,2.527E-11
18.75699,2.453E-11
19.00163,2.499E-11
19.25158,2.464E-11
19.50163,2.231E-11
19.75073,2.456E-11
20.00163,2.357E-11
20.25159,2.395E-11
20.50163,2.181E-11
20.75235,2.299E-11
21.00321,2.115E-11
21.25335,2.192E-11
21.50421,2.036E-11
21.75504,2.201E-11
22.00457,2.029E-11
22.25603,2.112E-11
22.50686,1.872E-11
22.75699,1.987E-11
23.00156,1.928E-11
23.25156,1.872E-11
23.50163,1.831E-11
23.75073,1.946E-11
24.00158,1.803E-11
24.25157,1.76E-11
24.50158,1.745E-11
24.75234,1.669E-11
25.00319,1.839E-11
25.25331,1.707E-11
25.50418,1.646E-11
25.75365,1.731E-11
26.0046,1.653E-11
26.25603,1.584E-11
26.50689,1.639E-11
26.75074,1.666E-11
27.00156,1.501E-11
27.25151,1.514E-11
27.50158,1.608E-11
27.75069,1.528E-11
28.00157,1.345E-11
28.25156,1.419E-11
28.5016,1.4E-11
28.7523,1.464E-11
29.0032,1.358E-11
29.25325,1.368E-11
29.50335,1.305E-11
29.755,1.203E-11
30.00461,1.192E-11
30.25595,1.214E-11
30.50611,1.259E-11
30.75069,1.351E-11
31.00224,1.305E-11
31.25224,1.2E-11
31.50158,1.141E-11
31.75069,1.228E-11
32.00223,8.42E-12
32.25224,1.162E-11
32.50249,1.322E-11
32.75235,1.244E-11
33.00325,1.323E-11
33.25327,1.271E-11
33.5047,8.37E-12
33.75505,1.287E-11
34.00595,1.314E-11
34.25592,1.208E-11
34.50156,1.144E-11
34.75073,1.168E-11
35.00224,1.104E-11
35.25224,1.039E-11
35.50155,9.61E-12
35.75073,1.084E-11
36.00224,1.288E-11
36.25218,9.92E-12
36.50339,1.038E-11
36.75231,8.46E-12
37.00389,9.14E-12
37.2539,9.29E-12
37.50461,8.18E-12
37.75505,9.28E-12
38.00595,1.007E-11
38.25219,9.61E-12
38.50224,8.97E-12
38.75069,1.064E-11
39.00224,8.74E-12
39.25218,9.18E-12
39.50151,8.63E-12
39.75073,7.64E-12
40.00219,7.66E-12
40.25248,6.36E-12
40.5039,7.27E-12
40.75389,5.79E-12
41.0047,7.32E-12
41.25505,5.55E-12
41.50595,5.58E-12
41.75659,8.98E-12
42.00219,1.36E-11
42.25069,1.678E-11
42.50223,1.876E-11
42.75218,1.959E-11
43.00224,1.981E-11
43.25073,1.952E-11
43.50221,1.77E-11
43.75217,1.657E-11
44.00252,1.665E-11
44.2523,1.522E-11
44.50384,1.077E-11
44.75384,-6E-14
45.00525,3.3E-12
45.25505,9.71E-12
45.50653,2.75E-12
45.75211,-1.76E-12
46.0022,9.5E-13
46.25073,3.8E-13
46.50218,3.7E-13
46.75218,3.04E-12
47.00221,2.36E-12
47.25073,1.62E-12
47.5025,9E-12
47.75269,7.71E-12
48.00385,3.19E-12
48.25365,2.13E-12
48.50386,3.47E-12
48.75521,5.57E-12
49.00523,1.051E-11
49.2564,8.72E-12
49.50218,3.28E-12
49.7522,2.08E-12
50.00218,1.57E-12
50.25073,2.69E-12
50.50216,1.44E-12
50.75216,2.6E-13
51.00218,1.51E-12
51.25073,1.61E-12
51.50246,8.31E-12
51.75267,1.251E-11
52.00383,4E-14
52.2537,2.82E-12
52.50519,1.95E-12
52.75522,3.86E-12
53.00657,6.9E-13
53.2564,2.91E-12
53.5022,5.07E-12
53.75215,2.76E-12
54.00216,3.43E-12
54.25073,-4.12E-12
54.50217,4.61E-12
54.7522,4.37E-12
55.00216,3.83E-12
55.251,4.73E-12
55.50249,2.08E-12
55.75268,2.14E-12
56.00382,2.36E-12
56.2537,4.3E-12
56.50519,2.1E-12
56.75521,3.82E-12
57.00653,4.63E-12
57.25069,4.41E-12
57.5022,-2.63E-12
57.75218,3.29E-12
58.00211,4.44E-12
58.25069,6.03E-12
58.5022,1.319E-11
58.75215,1.577E-11
59.00211,1.61E-11
59.25095,1.386E-11
59.50245,1.084E-11
59.75263,8.55E-12
60.00382,-2.04E-12
60.2537,-2.41E-12
60.50515,-1.02E-12
60.75516,1.16E-12
61.00518,-3.3E-12
61.25636,-3.64E-12
61.50215,3.31E-12
61.75215,2.85E-12
62.0022,7.95E-12
62.25069,1.238E-11
62.50217,4.2E-12
62.75213,-3.62E-12
63.00215,1.161E-11
63.25069,-1E-14
63.50217,1.75E-12
63.75269,2.48E-12
64.00244,6.7E-13
64.25366,-6.6E-13
64.50381,1.62E-12
64.75514,-9.5E-13
65.00516,-2.1E-13
65.2564,-9.07E-12
65.50651,1.52E-12
65.75651,2.62E-12
66.00213,-2.06E-12
66.25073,-9.77E-12
66.50219,-9.93E-12
66.75213,8.6E-13
67.00215,1E-12
67.25074,4.83E-12
67.50213,4.7E-12
67.75214,3.22E-12
68.00269,5.7E-13
68.25235,3.52E-12
68.50376,3.64E-12
68.75381,-3.6E-13
69.00515,-5.54E-12
69.25505,-5.71E-12
69.50515,7.88E-12
69.75649,9.91E-12
70.00655,7.3E-12
70.25069,1.131E-11
70.50215,1.03E-11
70.75217,9.01E-12
71.00214,1.083E-11
71.25069,6.05E-12
71.50211,-3.71E-12
71.7521,1.58E-12
72.00217,2.63E-12
72.25234,3.09E-12
72.50238,-3.06E-12
72.75378,-9.3E-13
73.00379,-5.3E-13
73.25366,-2.08E-12
73.5051,-3.84E-12
73.75514,-6.96E-12
74.00652,1.01E-12
74.2564,3.16E-12
74.50647,1.114E-11
74.75214,3.8E-13
75.00213,-2.9E-13
75.25073,-6E-14
75.50213,-2.2E-13
75.7521,2.93E-12
76.00217,-1.97E-12
76.25073,-4.58E-12
76.50213,-9.13E-12
76.75211,6.25E-12
77.00259,1.87E-12
77.25235,1.26E-12
77.50371,3.03E-12
77.75368,-5.9E-13
78.0051,6E-13
78.25501,-1.44E-12
78.50512,6.31E-12
78.75645,1.493E-11
79.00645,9.59E-12
79.25128,5.68E-12
79.5021,-4E-13
79.75205,7.3E-13
80.00214,2.24E-12
80.25069,4.08E-12
80.50207,5.17E-12
80.75202,6.6E-12
81.00214,-1.47E-12
81.25069,7.1E-13
81.50207,5.8E-12
81.7521,1.106E-11
82.00265,7.6E-12
82.25366,-1.47E-12
82.50365,-3.2E-12
82.75501,-7.83E-12
83.00511,5.92E-12
83.25501,1.039E-11
83.50634,2.42E-12
83.75647,1.21E-11
84.00776,4.58E-12
84.25073,-2.32E-12
84.50206,-1.4E-13
84.75209,3.2E-13
85.0021,7.73E-12
85.25069,7.36E-12
85.50214,-2.6E-13
85.75209,-1.48E-12
86.00203,-6.1E-13
86.2523,8.7E-13
86.50232,-4.4E-13
86.75252,3.25E-12
87.00372,5.56E-12
87.25369,6.02E-12
87.50502,2.93E-12
87.75506,-1.82E-12
88.00508,8.6E-13
88.25636,6E-13
88.50633,6.55E-12
88.75647,8.94E-12
89.002,1.276E-11
89.25069,8.69E-12
89.50207,1.063E-11
89.75208,9.66E-12
90.00201,7.06E-12
90.25069,-1.38E-12
90.5021,-3.86E-12
90.75205,7.4E-12
91.00204,5.14E-12
91.2523,5.8E-12
91.50235,5.95E-12
91.75368,4.05E-12
92.00366,8.28E-12
92.25504,8.4E-12
92.50505,8.6E-12
92.75507,5.66E-12
93.00637,6.55E-12
93.25698,3.73E-12
93.50771,4.98E-12
93.75775,5.33E-12
94.00235,-5.49E-12
94.25073,-5.2E-12
94.50208,-4.1E-12
94.75203,-5.9E-13
95.00209,-7.1E-12
95.25073,-5.3E-13
95.50204,-2.01E-12
95.75229,8.6E-13
96.00203,7.3E-12
96.25365,9.71E-12
96.50365,1.13E-12
96.75361,-3.24E-12
97.00506,2.85E-12
97.255,2.95E-12
97.50637,8.7E-13
97.7564,-4.06E-12
98.00644,-2.47E-12
98.25069,5.6E-13
98.50198,6.5E-12
98.75197,5.97E-12
99.00231,8.54E-12
99.25069,2.82E-12
99.50197,3.21E-12
99.75195,5.31E-12
100.00231,6.42E-12
100.25235,5.62E-12
100.50202,2.05E-12
100.75241,6.08E-12
101.00368,6.22E-12
101.25365,1.14E-12
101.50493,6.67E-12
101.75512,6.54E-12
102.00498,6.56E-12
102.25636,6.31E-12
102.50628,3.29E-12
102.75667,5.45E-12
103.00227,6.19E-12
103.25073,6.66E-12
103.50209,8.62E-12
103.75234,6.68E-12
104.00226,6.78E-12
104.25073,4.87E-12
104.50195,4.52E-12
104.75209,4.63E-12
105.00197,-5.43E-12
105.25234,-1.287E-11
105.50368,-1.632E-11
105.75375,2.12E-12
106.00501,2.37E-12
106.255,-1.76E-12
106.50509,-3.7E-12
106.75665,-6E-13
107.00632,-3.3E-12
107.25073,1.7E-12
107.50777,6.6E-12
107.75226,7.38E-12
108.00221,7.68E-12
108.25069,5.27E-12
108.50205,-3.73E-12
108.75231,-8.3E-13
109.00228,-3E-14
109.25095,3.62E-12
109.50205,2.41E-12
109.75231,-7.5E-12
110.00364,-5.9E-13
110.25369,6.23E-12
110.50366,6.38E-12
110.75399,-4.38E-12
111.00536,-7.07E-12
111.25501,-1.23E-12
111.50638,-3.63E-12
111.75662,3.2E-13
112.00665,2.58E-12
112.25073,3.2E-12
112.50208,5.94E-12
112.75209,1.4E-13
113.00235,2.98E-12
113.25073,2.86E-12
