VBias,C
-2,1.4514E-10
-1.99,1.4431E-10
-1.98,1.44734E-10
-1.97,1.46745E-10
-1.96,1.47242E-10
-1.95,1.46991E-10
-1.94,1.4796E-10
-1.93,1.47835E-10
-1.92,1.47507E-10
-1.91,1.48808E-10
-1.9,1.50457E-10
-1.89,1.50648E-10
-1.88,1.49302E-10
-1.87,1.50779E-10
-1.86,1.51245E-10
-1.85,1.51103E-10
-1.84,1.52121E-10
-1.83,1.54192E-10
-1.82,1.54656E-10
-1.81,1.53694E-10
-1.8,1.55721E-10
-1.79,1.55643E-10
-1.78,1.54921E-10
-1.77,1.55678E-10
-1.76,1.57529E-10
-1.75,1.58666E-10
-1.74,1.58758E-10
-1.73,1.58556E-10
-1.72,1.58597E-10
-1.71,1.60171E-10
-1.7,1.60329E-10
-1.69,1.61074E-10
-1.68,1.61543E-10
-1.67,1.63599E-10
-1.66,1.6444E-10
-1.65,1.64645E-10
-1.64,1.64541E-10
-1.63,1.64455E-10
-1.62,1.65792E-10
-1.61,1.66318E-10
-1.6,1.67215E-10
-1.59,1.68098E-10
-1.58,1.69799E-10
-1.57,1.71322E-10
-1.56,1.70703E-10
-1.55,1.71076E-10
-1.54,1.7296E-10
-1.53,1.73346E-10
-1.52,1.73273E-10
-1.51,1.74025E-10
-1.5,1.75123E-10
-1.49,1.77422E-10
-1.48,1.78275E-10
-1.47,1.78765E-10
-1.46,1.8006E-10
-1.45,1.80969E-10
-1.44,1.81848E-10
-1.43,1.82311E-10
-1.42,1.82626E-10
-1.41,1.83181E-10
-1.4,1.84158E-10
-1.39,1.85677E-10
-1.38,1.87639E-10
-1.37,1.88398E-10
-1.36,1.88572E-10
-1.35,1.89236E-10
-1.34,1.90134E-10
-1.33,1.91543E-10
-1.32,1.91672E-10
-1.31,1.92471E-10
-1.3,1.92507E-10
-1.29,1.92222E-10
-1.28,1.9251E-10
-1.27,1.926E-10
-1.26,1.92247E-10
-1.25,1.93356E-10
