VBias,C
-2,1.44531E-10
-1.99,1.45362E-10
-1.98,1.46149E-10
-1.97,1.46589E-10
-1.96,1.47112E-10
-1.95,1.4745E-10
-1.94,1.47836E-10
-1.93,1.47733E-10
-1.92,1.48173E-10
-1.91,1.4957E-10
-1.9,1.50306E-10
-1.89,1.50712E-10
-1.88,1.5105E-10
-1.87,1.5131E-10
-1.86,1.51747E-10
-1.85,1.52079E-10
-1.84,1.51845E-10
-1.83,1.5273E-10
-1.82,1.5325E-10
-1.81,1.5404E-10
-1.8,1.55002E-10
-1.79,1.55887E-10
-1.78,1.56356E-10
-1.77,1.57239E-10
-1.76,1.572E-10
-1.75,1.57946E-10
-1.74,1.58381E-10
-1.73,1.58613E-10
-1.72,1.59486E-10
-1.71,1.60542E-10
-1.7,1.6143E-10
-1.69,1.62237E-10
-1.68,1.629E-10
-1.67,1.63415E-10
-1.66,1.6417E-10
-1.65,1.65175E-10
-1.64,1.65779E-10
-1.63,1.66252E-10
-1.62,1.67111E-10
-1.61,1.66851E-10
-1.6,1.67894E-10
-1.59,1.68514E-10
-1.58,1.7008E-10
-1.57,1.70678E-10
-1.56,1.71674E-10
-1.55,1.71991E-10
-1.54,1.73188E-10
-1.53,1.74291E-10
-1.52,1.74906E-10
-1.51,1.74498E-10
-1.5,1.75302E-10
-1.49,1.76527E-10
-1.48,1.77322E-10
-1.47,1.78131E-10
-1.46,1.78715E-10
-1.45,1.79752E-10
-1.44,1.80936E-10
-1.43,1.82081E-10
-1.42,1.83161E-10
-1.41,1.84428E-10
-1.4,1.85418E-10
-1.39,1.86415E-10
-1.38,1.87601E-10
-1.37,1.88315E-10
-1.36,1.89171E-10
-1.35,1.89928E-10
-1.34,1.90415E-10
-1.33,1.91529E-10
-1.32,1.91032E-10
-1.31,1.91429E-10
-1.3,1.91883E-10
-1.29,1.92212E-10
-1.28,1.92131E-10
-1.27,1.92627E-10
-1.26,1.92865E-10
-1.25,1.93082E-10
-1.24,1.93181E-10
-1.23,1.93817E-10
-1.22,1.94083E-10
-1.21,1.93627E-10
-1.2,1.94187E-10
-1.19,1.93415E-10
-1.18,1.93345E-10
-1.17,1.93441E-10
-1.16,1.93636E-10
-1.15,1.94133E-10
-1.14,1.94553E-10
-1.13,1.94116E-10
-1.12,1.94456E-10
-1.11,1.94829E-10
-1.1,1.94929E-10
-1.09,1.94902E-10
-1.08,1.94744E-10
-1.07,1.94857E-10
-1.06,1.95186E-10
-1.05,1.95402E-10
-1.04,1.95126E-10
-1.03,1.9505E-10
-1.02,1.93838E-10
-1.01,1.94473E-10
-1,1.9445E-10
-0.99,1.94755E-10
-0.98,1.94732E-10
-0.97,1.94876E-10
-0.96,1.95322E-10
-0.95,1.95093E-10
-0.94,1.95645E-10
-0.93,1.96902E-10
-0.92,1.97697E-10
-0.91,1.98216E-10
-0.9,1.98511E-10
-0.89,1.99111E-10
-0.88,1.99389E-10
-0.87,2.00566E-10
-0.86,2.00882E-10
-0.85,2.02452E-10
-0.84,2.02833E-10
-0.83,2.03924E-10
-0.82,2.05046E-10
-0.81,2.05877E-10
-0.8,2.06837E-10
-0.79,2.07651E-10
-0.78,2.0844E-10
-0.77,2.08421E-10
-0.76,2.0981E-10
-0.75,2.10542E-10
-0.74,2.12188E-10
-0.73,2.13279E-10
-0.72,2.14398E-10
-0.71,2.15617E-10
-0.7,2.16906E-10
-0.69,2.18022E-10
-0.68,2.19094E-10
-0.67,2.19999E-10
-0.66,2.20422E-10
-0.65,2.22134E-10
-0.64,2.22996E-10
-0.63,2.25214E-10
-0.62,2.25725E-10
-0.61,2.28158E-10
-0.6,2.28884E-10
-0.59,2.30165E-10
-0.58,2.3175E-10
-0.57,2.3274E-10
-0.56,2.34729E-10
-0.55,2.35535E-10
-0.54,2.3828E-10
-0.53,2.40818E-10
-0.52,2.42321E-10
-0.51,2.4377E-10
-0.5,2.4462E-10
-0.49,2.47122E-10
-0.48,2.49212E-10
-0.47,2.5149E-10
-0.46,2.53673E-10
-0.45,2.55729E-10
-0.44,2.57309E-10
-0.43,2.59401E-10
-0.42,2.6239E-10
-0.41,2.64964E-10
-0.4,2.6797E-10
-0.39,2.70803E-10
-0.38,2.7367E-10
-0.37,2.75436E-10
