Setup title,"I/V Sweep_0_-3"
Classic test name,"I/V Sweep"
Test date,2/15/2023
Test time,15:30:57
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU2:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU2:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-3
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU2:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-1.2E-12
-0.01,8E-13
-0.02,7.4E-12
-0.03,-1.4E-12
-0.04,4.5E-12
-0.05,3E-12
-0.06,7.8E-12
-0.07,8E-13
-0.08,5.3E-12
-0.09,9.3E-12
-0.1,-3.6E-12
-0.11,-1.12E-11
-0.12,2.4E-12
-0.13,2.6E-12
-0.14,-2.6E-12
-0.15,7.7E-12
-0.16,6E-12
-0.17,-3.1E-12
-0.18,-4E-13
-0.19,2.1E-12
-0.2,3.3E-12
-0.21,6E-13
-0.22,4.1E-12
-0.23,3.4E-12
-0.24,-1.9E-12
-0.25,2.5E-12
-0.26,1.5E-12
-0.27,5.2E-12
-0.28,2.7E-12
-0.29,2.7E-12
-0.3,7E-13
-0.31,2.3E-12
-0.32,6E-13
-0.33,1.4E-12
-0.34,9E-13
-0.35,1.6E-12
-0.36,1.4E-12
-0.37,1.5E-12
-0.38,2.9E-12
-0.39,5E-13
-0.4,1.6E-12
-0.41,1.1E-12
-0.42,2.2E-12
-0.43,2.4E-12
-0.44,7E-13
-0.45,2.4E-12
-0.46,3.8E-12
-0.47,3.9E-12
-0.48,2.2E-12
-0.49,3.2E-12
-0.5,1.7E-12
-0.51,1.5E-12
-0.52,2.4E-12
-0.53,2.7E-12
-0.54,2E-13
-0.55,1.2E-12
-0.56,1.7E-12
-0.57,-4E-13
-0.58,3.8E-12
-0.59,3.2E-12
-0.6,1.7E-12
-0.61,1.6E-12
-0.62,1.2E-12
-0.63,2.7E-12
-0.64,1.6E-12
-0.65,1.9E-12
-0.66,3E-13
-0.67,4.8E-12
-0.68,3.4E-12
-0.69,1.9E-12
-0.7,2.1E-12
-0.71,3.1E-12
-0.72,1.7E-12
-0.73,1.7E-12
-0.74,2.6E-12
-0.75,1.5E-12
-0.76,3.9E-12
-0.77,4E-13
-0.78,3.2E-12
-0.79,-2E-13
-0.8,8E-13
-0.81,1.7E-12
-0.82,1.2E-12
-0.83,1.8E-12
-0.84,4E-13
-0.85,2.5E-12
-0.86,2.5E-12
-0.87,1.8E-12
-0.88,3.7E-12
-0.89,-1.2E-12
-0.9,1.3E-12
-0.91,-1E-13
-0.92,2.7E-12
-0.93,2.7E-12
-0.94,7E-13
-0.95,2.6E-12
-0.96,1.3E-12
-0.97,2.1E-12
-0.98,-7E-13
-0.99,4.2E-12
-1,9E-13
-1.01,4.2E-12
-1.02,1.4E-12
-1.03,4E-13
-1.04,2.5E-12
-1.05,-1E-13
-1.06,3.8E-12
-1.07,9E-13
-1.08,6E-13
-1.09,3E-13
-1.1,9E-13
-1.11,3.2E-12
-1.12,2.2E-12
-1.13,4E-12
-1.14,4E-13
-1.15,2.2E-12
-1.16,1E-12
-1.17,2.1E-12
-1.18,7E-13
-1.19,1.7E-12
-1.2,2.1E-12
-1.21,1E-13
-1.22,3.3E-12
-1.23,5E-13
-1.24,2.8E-12
-1.25,-1.5E-12
-1.26,2.8E-12
-1.27,5E-13
-1.28,2.9E-12
-1.29,2.7E-12
-1.3,1.1E-12
-1.31,1.6E-12
-1.32,2E-13
-1.33,2E-12
-1.34,3.2E-12
-1.35,2.7E-12
-1.36,1.8E-12
-1.37,9E-13
-1.38,2.1E-12
-1.39,1.7E-12
-1.4,3.5E-12
-1.41,2.5E-12
-1.42,1.8E-12
-1.43,9E-13
-1.44,2.7E-12
-1.45,8E-13
-1.46,1.2E-12
-1.47,-3E-13
-1.48,1.5E-12
-1.49,3E-12
-1.5,7E-13
-1.51,2.7E-12
-1.52,1.5E-12
-1.53,2.8E-12
-1.54,9E-13
-1.55,2.4E-12
-1.56,2.5E-12
-1.57,1.6E-12
-1.58,9E-13
-1.59,4.4E-12
-1.6,5E-13
-1.61,4E-13
-1.62,1.6E-12
