Time,I1
0.03632,-5.868E-11
0.2508,-4.836E-11
0.50081,-4.749E-11
0.75069,-4.717E-11
1.00079,-4.712E-11
1.2508,-4.702E-11
1.50085,-4.694E-11
1.75069,-4.692E-11
2.00079,-4.682E-11
2.25078,-4.697E-11
2.5008,-4.669E-11
2.75069,-4.692E-11
3.00082,-4.664E-11
3.25082,-4.684E-11
3.50081,-4.674E-11
3.75064,-4.683E-11
4.00078,-4.667E-11
4.25086,-4.666E-11
4.5008,-4.668E-11
4.75069,-4.663E-11
5.00086,-4.666E-11
5.25718,-4.661E-11
5.50718,-4.661E-11
5.75635,-4.659E-11
6.00714,-4.646E-11
6.25718,-4.658E-11
6.50716,-4.659E-11
6.75635,-4.656E-11
7.00575,-4.653E-11
7.25582,-4.651E-11
7.50578,-4.642E-11
7.75635,-4.663E-11
8.00574,-4.636E-11
8.25582,-4.653E-11
8.50582,-4.634E-11
8.755,-4.647E-11
9.00579,-4.633E-11
9.25446,-4.647E-11
9.50447,-4.643E-11
9.755,-4.636E-11
10.00441,-4.641E-11
10.25444,-4.624E-11
10.50442,-4.641E-11
10.75365,-4.644E-11
11.00442,-4.634E-11
11.25443,-4.636E-11
11.50446,-4.621E-11
11.75365,-4.63E-11
12.00305,-4.633E-11
12.25329,-4.65E-11
12.50328,-4.623E-11
12.75361,-4.636E-11
13.003,-4.633E-11
13.25323,-4.638E-11
13.50333,-4.615E-11
13.75226,-4.618E-11
14.00298,-4.637E-11
14.25321,-4.618E-11
14.50327,-4.617E-11
14.7523,-4.623E-11
15.00303,-4.606E-11
15.25323,-4.612E-11
15.50325,-4.626E-11
15.75226,-4.622E-11
16.00188,-4.608E-11
16.25081,-4.619E-11
16.50194,-4.613E-11
16.75069,-4.604E-11
17.00081,-4.619E-11
17.2508,-4.615E-11
17.50081,-4.6E-11
17.75069,-4.61E-11
18.0008,-4.61E-11
18.25081,-4.611E-11
18.5008,-4.595E-11
18.75064,-4.609E-11
19.00079,-4.606E-11
19.25079,-4.609E-11
19.5008,-4.599E-11
19.75069,-4.598E-11
20.00079,-4.601E-11
20.25078,-4.603E-11
20.50081,-4.597E-11
20.75069,-4.598E-11
21.0008,-4.603E-11
21.25078,-4.593E-11
21.5008,-4.589E-11
21.75069,-4.578E-11
22.00079,-4.585E-11
22.25082,-4.584E-11
22.5008,-4.589E-11
22.75069,-4.586E-11
23.00086,-4.575E-11
23.25082,-4.585E-11
23.50079,-4.594E-11
23.75064,-4.585E-11
24.00085,-4.581E-11
24.25082,-4.59E-11
24.5008,-4.586E-11
24.75069,-4.577E-11
25.00084,-4.576E-11
25.25082,-4.575E-11
25.5008,-4.579E-11
25.75064,-4.575E-11
26.00086,-4.577E-11
26.25082,-4.589E-11
26.50078,-4.572E-11
26.75069,-4.572E-11
27.00086,-4.579E-11
27.25082,-4.57E-11
27.50078,-4.573E-11
27.75069,-4.57E-11
28.00086,-4.565E-11
28.25084,-4.569E-11
28.50078,-4.567E-11
28.75064,-4.565E-11
29.00086,-4.565E-11
29.25085,-4.571E-11
29.50085,-4.57E-11
29.75068,-4.56E-11
30.00085,-4.553E-11
30.2508,-4.564E-11
30.50085,-4.555E-11
30.75069,-4.551E-11
31.00081,-4.559E-11
31.2508,-4.557E-11
31.50085,-4.553E-11
31.75064,-4.559E-11
32.00084,-4.545E-11
32.25083,-4.549E-11
32.50085,-4.554E-11
32.75069,-4.547E-11
33.0008,-4.546E-11
33.25083,-4.548E-11
33.50085,-4.546E-11
33.75069,-4.547E-11
34.00081,-4.55E-11
34.25081,-4.545E-11
34.50085,-4.542E-11
34.75064,-4.543E-11
35.0008,-4.547E-11
35.25081,-4.531E-11
35.50085,-4.532E-11
35.75064,-4.534E-11
36.0008,-4.536E-11
36.25081,-4.528E-11
36.5008,-4.529E-11
36.75064,-4.534E-11
37.00081,-4.524E-11
37.25079,-4.532E-11
37.50081,-4.522E-11
37.75064,-4.519E-11
38.00081,-4.523E-11
38.2508,-4.521E-11
38.50084,-4.53E-11
38.75064,-4.515E-11
39.00079,-4.526E-11
39.25078,-4.512E-11
39.50079,-4.528E-11
39.75069,-4.523E-11
40.00079,-4.529E-11
