Setup title,"I/V Sweep_check"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,15:35:20
Device ID,
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.1
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.1,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-7.2909E-10
0.01,4.67723E-08
0.02,9.25388E-08
0.03,1.39446E-07
0.04,1.83732E-07
0.05,2.30251E-07
0.06,2.68869E-07
0.07,3.23078E-07
0.08,3.67921E-07
0.09,4.12059E-07
0.1,4.49843E-07
0.11,4.89128E-07
0.12,5.46216E-07
0.13,5.96209E-07
0.14,6.46173E-07
0.15,6.84383E-07
0.16,7.28588E-07
0.17,7.65436E-07
0.18,8.07414E-07
0.19,8.65202E-07
0.2,9.17376E-07
0.21,9.465E-07
0.22,9.84184E-07
0.23,1.022377E-06
0.24,1.098641E-06
0.25,1.15623E-06
0.26,1.18535E-06
0.27,1.24182E-06
0.28,1.25714E-06
0.29,1.31565E-06
0.3,1.34998E-06
0.31,1.38307E-06
0.32,1.45129E-06
0.33,1.50121E-06
0.34,1.53807E-06
0.35,1.57391E-06
0.36,1.61073E-06
0.37,1.67935E-06
0.38,1.70556E-06
0.39,1.73985E-06
0.4,1.82021E-06
0.41,1.89111E-06
0.42,1.92913E-06
0.43,1.9818E-06
0.44,2.03758E-06
0.45,2.1081E-06
0.46,2.1741E-06
0.47,2.20511E-06
0.48,2.27661E-06
0.49,2.32558E-06
0.5,2.41207E-06
0.51,2.47867E-06
0.52,2.54778E-06
0.53,2.5856E-06
0.54,2.61294E-06
0.55,2.70462E-06
0.56,2.77528E-06
0.57,2.83237E-06
0.58,2.97327E-06
0.59,3.05254E-06
0.6,3.15667E-06
0.61,3.19118E-06
0.62,3.23544E-06
0.63,3.26529E-06
0.64,3.33628E-06
0.65,3.36091E-06
0.66,3.43794E-06
0.67,3.4814E-06
0.68,3.554E-06
0.69,3.63219E-06
0.7,3.68029E-06
0.71,3.7288E-06
0.72,3.71908E-06
0.73,3.79924E-06
0.74,3.87592E-06
0.75,3.94263E-06
0.76,3.95239E-06
0.77,3.98635E-06
0.78,4.09504E-06
0.79,4.18231E-06
0.8,4.22566E-06
0.81,4.2821E-06
0.82,4.34847E-06
0.83,4.36641E-06
0.84,4.43071E-06
0.85,4.4916E-06
0.86,4.51686E-06
