Setup title,"C-V Sweep_check"
Classic test name,"C-V Sweep"
Test date,3/29/2023
Test time,15:31:28
Device ID,
Count,3
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-3
Measurement.Primary.Stop,3
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,3.53453E-13
-2.99,3.5092E-13
-2.98,3.51225E-13
-2.97,3.54619E-13
-2.96,3.50638E-13
-2.95,3.53612E-13
-2.94,3.52201E-13
-2.93,3.54021E-13
-2.92,3.54348E-13
-2.91,3.49545E-13
-2.9,3.5301E-13
-2.89,3.54974E-13
-2.88,3.50223E-13
-2.87,3.51298E-13
-2.86,3.54909E-13
-2.85,3.51138E-13
-2.84,3.53475E-13
-2.83,3.54359E-13
-2.82,3.50524E-13
-2.81,3.56729E-13
-2.8,3.53405E-13
-2.79,3.49516E-13
-2.78,3.56796E-13
-2.77,3.49014E-13
-2.76,3.54072E-13
-2.75,3.50021E-13
-2.74,3.53746E-13
-2.73,3.54198E-13
-2.72,3.51282E-13
-2.71,3.51273E-13
-2.7,3.53746E-13
-2.69,3.52436E-13
-2.68,3.54031E-13
-2.67,3.52113E-13
-2.66,3.51989E-13
-2.65,3.53428E-13
-2.64,3.55615E-13
-2.63,3.53219E-13
-2.62,3.56859E-13
-2.61,3.52563E-13
-2.6,3.50114E-13
-2.59,3.52069E-13
-2.58,3.52157E-13
-2.57,3.53988E-13
-2.56,3.49746E-13
-2.55,3.57125E-13
-2.54,3.53441E-13
-2.53,3.49004E-13
-2.52,3.53824E-13
-2.51,3.54098E-13
-2.5,3.53597E-13
-2.49,3.51743E-13
-2.48,3.54147E-13
-2.47,3.53072E-13
-2.46,3.56795E-13
-2.45,3.53731E-13
-2.44,3.56706E-13
-2.43,3.56564E-13
-2.42,3.55606E-13
-2.41,3.53333E-13
-2.4,3.56421E-13
-2.39,3.49066E-13
-2.38,3.5105E-13
-2.37,3.52923E-13
-2.36,3.54885E-13
-2.35,3.5228E-13
-2.34,3.52816E-13
-2.33,3.54547E-13
-2.32,3.51776E-13
-2.31,3.53542E-13
-2.3,3.5364E-13
-2.29,3.5517E-13
-2.28,3.53024E-13
-2.27,3.50439E-13
-2.26,3.50669E-13
-2.25,3.57418E-13
-2.24,3.53779E-13
-2.23,3.55914E-13
-2.22,3.51395E-13
-2.21,3.54693E-13
-2.2,3.5835E-13
-2.19,3.52306E-13
-2.18,3.52424E-13
-2.17,3.53979E-13
-2.16,3.54543E-13
-2.15,3.51584E-13
-2.14,3.55706E-13
-2.13,3.54361E-13
-2.12,3.52667E-13
-2.11,3.56111E-13
-2.1,3.52987E-13
-2.09,3.5407E-13
-2.08,3.54108E-13
-2.07,3.50348E-13
-2.06,3.51862E-13
-2.05,3.5251E-13
-2.04,3.53618E-13
-2.03,3.54974E-13
-2.02,3.55787E-13
-2.01,3.52141E-13
-2,3.53191E-13
-1.99,3.53842E-13
-1.98,3.5624E-13
-1.97,3.56929E-13
-1.96,3.53135E-13
-1.95,3.56151E-13
-1.94,3.55395E-13
-1.93,3.51188E-13
-1.92,3.50472E-13
-1.91,3.54936E-13
-1.9,3.53574E-13
-1.89,3.54931E-13
-1.88,3.56682E-13
-1.87,3.51288E-13
-1.86,3.5537E-13
-1.85,3.52308E-13
-1.84,3.52401E-13
-1.83,3.53268E-13
-1.82,3.52535E-13
-1.81,3.54361E-13
-1.8,3.52454E-13
-1.79,3.56859E-13
-1.78,3.49219E-13
-1.77,3.51499E-13
-1.76,3.53337E-13
-1.75,3.55466E-13
-1.74,3.52771E-13
-1.73,3.52822E-13
-1.72,3.52099E-13
-1.71,3.5616E-13
-1.7,3.50023E-13
-1.69,3.50013E-13
-1.68,3.51576E-13
-1.67,3.47929E-13
-1.66,3.55165E-13
-1.65,3.54465E-13
-1.64,3.53318E-13
-1.63,3.52008E-13
-1.62,3.49996E-13
-1.61,3.5354E-13
-1.6,3.52532E-13
-1.59,3.56187E-13
-1.58,3.54146E-13
-1.57,3.53052E-13
-1.56,3.5472E-13
-1.55,3.51168E-13
-1.54,3.50437E-13
-1.53,3.54138E-13
-1.52,3.54185E-13
-1.51,3.53621E-13
-1.5,3.5461E-13
-1.49,3.51742E-13
-1.48,3.50201E-13
-1.47,3.49019E-13
-1.46,3.54373E-13
-1.45,3.54674E-13
-1.44,3.53067E-13
-1.43,3.51104E-13
-1.42,3.52545E-13
-1.41,3.53132E-13
-1.4,3.49994E-13
-1.39,3.5152E-13
-1.38,3.5056E-13
-1.37,3.50723E-13
-1.36,3.52929E-13
-1.35,3.51642E-13
-1.34,3.54391E-13
-1.33,3.54686E-13
-1.32,3.55423E-13
-1.31,3.55285E-13
-1.3,3.54285E-13
-1.29,3.56991E-13
-1.28,3.56328E-13
-1.27,3.55566E-13
-1.26,3.53835E-13
-1.25,3.54339E-13
-1.24,3.51608E-13
-1.23,3.55117E-13
-1.22,3.54674E-13
-1.21,3.51326E-13
-1.2,3.55808E-13
-1.19,3.56247E-13
-1.18,3.53228E-13
-1.17,3.52782E-13
-1.16,3.50141E-13
-1.15,3.53377E-13
-1.14,3.53207E-13
-1.13,3.5358E-13
-1.12,3.55658E-13
-1.11,3.50779E-13
-1.1,3.52954E-13
-1.09,3.52367E-13
-1.08,3.48955E-13
-1.07,3.51458E-13
-1.06,3.53003E-13
-1.05,3.52986E-13
-1.04,3.54945E-13
-1.03,3.51644E-13
-1.02,3.53437E-13
-1.01,3.53092E-13
-1,3.534E-13
-0.99,3.55748E-13
-0.98,3.55707E-13
-0.97,3.5362E-13
-0.96,3.56857E-13
-0.95,3.49636E-13
-0.94,3.52088E-13
-0.93,3.53364E-13
-0.92,3.54655E-13
-0.91,3.54032E-13
-0.9,3.54526E-13
-0.89,3.52765E-13
-0.88,3.54826E-13
-0.87,3.52446E-13
-0.86,3.5076E-13
-0.85,3.52076E-13
-0.84,3.51919E-13
-0.83,3.52321E-13
-0.82,3.57128E-13
-0.81,3.54489E-13
-0.8,3.54085E-13
-0.79,3.54986E-13
-0.78,3.554E-13
-0.77,3.5075E-13
-0.76,3.51729E-13
-0.75,3.5502E-13
-0.74,3.53612E-13
-0.73,3.52653E-13
-0.72,3.5687E-13
-0.71,3.50478E-13
-0.7,3.53409E-13
-0.69,3.54739E-13
-0.68,3.52204E-13
-0.67,3.57318E-13
-0.66,3.51727E-13
-0.65,3.49712E-13
-0.64,3.50444E-13
-0.63,3.51421E-13
-0.62,3.53013E-13
-0.61,3.51973E-13
-0.6,3.54498E-13
-0.59,3.52004E-13
-0.58,3.52086E-13
-0.57,3.55049E-13
-0.56,3.53446E-13
-0.55,3.549E-13
-0.54,3.51724E-13
-0.53,3.56221E-13
-0.52,3.51132E-13
-0.51,3.52984E-13
-0.5,3.51369E-13
-0.49,3.51535E-13
-0.48,3.5157E-13
-0.47,3.49967E-13
-0.46,3.54163E-13
-0.45,3.52885E-13
-0.44,3.50215E-13
-0.43,3.51169E-13
-0.42,3.54391E-13
-0.41,3.53726E-13
-0.4,3.58078E-13
-0.39,3.48065E-13
-0.38,3.48403E-13
-0.37,3.52495E-13
-0.36,3.55092E-13
-0.35,3.54304E-13
-0.34,3.5062E-13
-0.33,3.57985E-13
-0.32,3.51195E-13
-0.31,3.55878E-13
-0.3,3.54996E-13
-0.29,3.50852E-13
-0.28,3.53681E-13
-0.27,3.54553E-13
-0.26,3.4994E-13
-0.25,3.55708E-13
-0.24,3.5503E-13
-0.23,3.54398E-13
-0.22,3.51895E-13
-0.21,3.52681E-13
-0.2,3.54766E-13
-0.19,3.56601E-13
-0.18,3.53826E-13
-0.17,3.54526E-13
-0.16,3.55134E-13
-0.15,3.54217E-13
-0.14,3.54553E-13
-0.13,3.55116E-13
-0.12,3.55339E-13
-0.11,3.55136E-13
-0.1,3.51389E-13
-0.09,3.51536E-13
-0.08,3.55858E-13
-0.07,3.5484E-13
-0.06,3.53215E-13
-0.05,3.54011E-13
-0.04,3.52039E-13
-0.03,3.55113E-13
-0.02,3.50462E-13
-0.01,3.53508E-13
0,3.50593E-13
0.01,3.55124E-13
0.02,3.52055E-13
0.03,3.52772E-13
0.04,3.53186E-13
0.05,3.48937E-13
0.06,3.53297E-13
0.07,3.5406E-13
0.08,3.51126E-13
0.09,3.50969E-13
0.1,3.53034E-13
0.11,3.53217E-13
0.12,3.51995E-13
0.13,3.51977E-13
0.14,3.52728E-13
0.15,3.54427E-13
0.16,3.48897E-13
0.17,3.55332E-13
0.18,3.55527E-13
0.19,3.50098E-13
0.2,3.52844E-13
0.21,3.50147E-13
0.22,3.55304E-13
0.23,3.51277E-13
0.24,3.51924E-13
0.25,3.51644E-13
0.26,3.56434E-13
0.27,3.48175E-13
0.28,3.52566E-13
0.29,3.51659E-13
0.3,3.52122E-13
0.31,3.55452E-13
0.32,3.51356E-13
0.33,3.54698E-13
0.34,3.54112E-13
0.35,3.51997E-13
0.36,3.54184E-13
0.37,3.57182E-13
0.38,3.58204E-13
0.39,3.54174E-13
0.4,3.54627E-13
0.41,3.54841E-13
0.42,3.5249E-13
0.43,3.5492E-13
0.44,3.55264E-13
0.45,3.51594E-13
0.46,3.5266E-13
0.47,3.57021E-13
0.48,3.53523E-13
0.49,3.53948E-13
0.5,3.56938E-13
0.51,3.54628E-13
0.52,3.54621E-13
0.53,3.52408E-13
0.54,3.59184E-13
0.55,3.55453E-13
0.56,3.52209E-13
0.57,3.53737E-13
0.58,3.51622E-13
0.59,3.59002E-13
0.6,3.57941E-13
0.61,3.53256E-13
