Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
Classic test name,"C-V Sweep"
Test date,3/29/2023
Test time,16:18:32
Device ID,1
Count,1
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-6
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,100000,500000,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-3
Output.Graph.XAxis.Right,3
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-6,6.83605E-10
-5.99,6.90841E-10
-5.98,6.90881E-10
-5.97,6.8351E-10
-5.96,6.79846E-10
-5.95,6.83704E-10
-5.94,6.8165E-10
-5.93,6.76991E-10
-5.92,6.87654E-10
-5.91,6.72609E-10
-5.9,6.74949E-10
-5.89,6.76776E-10
-5.88,6.80495E-10
-5.87,6.77187E-10
-5.86,6.80165E-10
-5.85,6.76249E-10
-5.84,6.79521E-10
-5.83,6.74617E-10
-5.82,6.75243E-10
-5.81,6.74692E-10
-5.8,6.69833E-10
-5.79,6.69716E-10
-5.78,6.7778E-10
-5.77,6.69066E-10
-5.76,6.66113E-10
-5.75,6.72825E-10
-5.74,6.68813E-10
-5.73,6.5778E-10
-5.72,6.68579E-10
-5.71,6.61877E-10
-5.7,6.64114E-10
-5.69,6.64209E-10
-5.68,6.66572E-10
-5.67,6.62066E-10
-5.66,6.6124E-10
-5.65,6.56053E-10
-5.64,6.60184E-10
-5.63,6.54474E-10
-5.62,6.62431E-10
-5.61,6.6074E-10
-5.6,6.61083E-10
-5.59,6.66783E-10
-5.58,6.61329E-10
-5.57,6.60467E-10
-5.56,6.62069E-10
-5.55,6.54851E-10
-5.54,6.59515E-10
-5.53,6.50611E-10
-5.52,6.5073E-10
-5.51,6.54305E-10
-5.5,6.53807E-10
-5.49,6.54825E-10
-5.48,6.59573E-10
-5.47,6.54135E-10
-5.46,6.51848E-10
-5.45,6.54638E-10
-5.44,6.58108E-10
-5.43,6.47882E-10
-5.42,6.53168E-10
-5.41,6.50737E-10
-5.4,6.50141E-10
-5.39,6.55332E-10
-5.38,6.48098E-10
-5.37,6.5764E-10
-5.36,6.49895E-10
-5.35,6.57477E-10
-5.34,6.58064E-10
-5.33,6.51327E-10
-5.32,6.53085E-10
-5.31,6.52706E-10
-5.3,6.50707E-10
-5.29,6.50536E-10
-5.28,6.52914E-10
-5.27,6.55426E-10
-5.26,6.45305E-10
-5.25,6.47164E-10
-5.24,6.54786E-10
-5.23,6.52111E-10
-5.22,6.43521E-10
-5.21,6.51541E-10
-5.2,6.47293E-10
-5.19,6.50156E-10
-5.18,6.51607E-10
-5.17,6.55958E-10
-5.16,6.52404E-10
-5.15,6.47474E-10
-5.14,6.52924E-10
-5.13,6.478E-10
-5.12,6.56608E-10
-5.11,6.45653E-10
-5.1,6.49736E-10
-5.09,6.48819E-10
-5.08,6.50718E-10
-5.07,6.52637E-10
-5.06,6.48101E-10
-5.05,6.49029E-10
-5.04,6.56477E-10
-5.03,6.531E-10
-5.02,6.43764E-10
-5.01,6.55258E-10
-5,6.46733E-10
-4.99,6.54491E-10
-4.98,6.58877E-10
-4.97,6.51945E-10
-4.96,6.50617E-10
-4.95,6.5171E-10
-4.94,6.53541E-10
-4.93,6.48958E-10
-4.92,6.45945E-10
-4.91,6.57826E-10
-4.9,6.52014E-10
-4.89,6.59186E-10
-4.88,6.60078E-10
-4.87,6.56444E-10
-4.86,6.57519E-10
-4.85,6.6558E-10
-4.84,6.58204E-10
-4.83,6.52422E-10
-4.82,6.12413E-10
-4.81,6.97847E-11
-4.8,4.59674E-10
-4.79,6.58935E-10
-4.78,5.18967E-10
-4.77,6.4899E-10
-4.76,6.59813E-10
-4.75,5.43203E-10
-4.74,6.51322E-10
-4.73,3.3153E-10
-4.72,2.90164E-10
-4.71,6.05937E-10
-4.7,6.70514E-10
-4.69,6.01533E-10
-4.68,6.49417E-10
-4.67,6.58674E-10
-4.66,5.80976E-10
-4.65,5.16131E-10
-4.64,3.26154E-10
-4.63,3.71454E-10
-4.62,3.31827E-10
-4.61,4.47814E-10
-4.6,4.81048E-10
-4.59,5.03316E-10
-4.58,4.51695E-10
-4.57,5.36107E-10
-4.56,5.28294E-10
-4.55,4.08102E-10
-4.54,4.94974E-10
-4.53,5.5931E-10
-4.52,5.75535E-10
-4.51,6.69905E-10
-4.5,5.90303E-10
-4.49,6.72911E-10
-4.48,6.04713E-10
-4.47,6.45419E-10
-4.46,6.82577E-10
-4.45,6.93511E-10
-4.44,6.79316E-10
-4.43,7.30253E-10
-4.42,7.06192E-10
-4.41,7.24199E-10
-4.4,7.22203E-10
-4.39,7.28354E-10
-4.38,7.38328E-10
-4.37,7.37595E-10
-4.36,7.41345E-10
-4.35,7.3655E-10
-4.34,7.42951E-10
-4.33,7.45069E-10
-4.32,7.41048E-10
-4.31,7.48452E-10
-4.3,7.49755E-10
-4.29,7.49386E-10
-4.28,7.52024E-10
-4.27,7.52338E-10
-4.26,7.53541E-10
-4.25,7.55494E-10
-4.24,7.52587E-10
-4.23,7.56844E-10
-4.22,7.57458E-10
-4.21,7.58278E-10
-4.2,7.58645E-10
-4.19,7.60439E-10
-4.18,7.67139E-10
-4.17,7.68914E-10
-4.16,7.66134E-10
-4.15,7.66167E-10
-4.14,7.67931E-10
-4.13,7.66331E-10
-4.12,7.6909E-10
-4.11,7.75325E-10
-4.1,7.72595E-10
-4.09,7.73005E-10
-4.08,7.7568E-10
-4.07,7.75965E-10
-4.06,7.80955E-10
-4.05,7.78407E-10
-4.04,7.77585E-10
-4.03,7.81265E-10
-4.02,7.8141E-10
-4.01,7.84783E-10
-4,7.81424E-10
-3.99,7.83472E-10
-3.98,7.8791E-10
-3.97,7.85239E-10
-3.96,7.86486E-10
-3.95,7.8937E-10
-3.94,7.90622E-10
-3.93,7.91503E-10
-3.92,7.90439E-10
-3.91,7.93993E-10
-3.9,7.91496E-10
-3.89,7.94292E-10
-3.88,7.95156E-10
-3.87,7.94763E-10
-3.86,7.98666E-10
-3.85,7.98324E-10
-3.84,8.00255E-10
-3.83,7.98515E-10
-3.82,8.02022E-10
-3.81,8.03694E-10
-3.8,8.03157E-10
-3.79,8.04513E-10
-3.78,8.04713E-10
-3.77,8.04867E-10
-3.76,8.07103E-10
-3.75,8.07368E-10
-3.74,8.09783E-10
-3.73,8.07398E-10
-3.72,8.1175E-10
-3.71,8.10782E-10
-3.7,8.1175E-10
-3.69,8.14065E-10
-3.68,8.13483E-10
-3.67,8.14028E-10
-3.66,8.17732E-10
-3.65,8.17711E-10
-3.64,8.14926E-10
-3.63,8.18889E-10
-3.62,8.17227E-10
-3.61,8.20284E-10
-3.6,8.18057E-10
-3.59,8.21785E-10
-3.58,8.20144E-10
-3.57,8.22962E-10
-3.56,8.25678E-10
-3.55,8.22708E-10
-3.54,8.25268E-10
-3.53,8.24331E-10
-3.52,8.26914E-10
-3.51,8.27137E-10
-3.5,8.28118E-10
-3.49,8.29255E-10
-3.48,8.2909E-10
-3.47,8.3094E-10
-3.46,8.31148E-10
-3.45,8.30792E-10
-3.44,8.32044E-10
-3.43,8.32833E-10
-3.42,8.34358E-10
-3.41,8.33899E-10
-3.4,8.3544E-10
-3.39,8.35901E-10
-3.38,8.36456E-10
-3.37,8.38491E-10
-3.36,8.37469E-10
-3.35,8.40076E-10
-3.34,8.40235E-10
-3.33,8.39832E-10
-3.32,8.40913E-10
-3.31,8.41605E-10
-3.3,8.41454E-10
-3.29,8.42814E-10
-3.28,8.43678E-10
-3.27,8.44323E-10
-3.26,8.44589E-10
-3.25,8.4696E-10
-3.24,8.48325E-10
-3.23,8.47257E-10
-3.22,8.47207E-10
-3.21,8.48746E-10
-3.2,8.50282E-10
-3.19,8.51315E-10
-3.18,8.51712E-10
-3.17,8.52574E-10
-3.16,8.51803E-10
-3.15,8.54112E-10
-3.14,8.55994E-10
-3.13,8.5469E-10
-3.12,8.57437E-10
-3.11,8.5625E-10
-3.1,8.56816E-10
-3.09,8.58846E-10
-3.08,8.59071E-10
-3.07,8.60904E-10
-3.06,8.60641E-10
-3.05,8.6239E-10
-3.04,8.63182E-10
-3.03,8.64138E-10
-3.02,8.65404E-10
-3.01,8.65111E-10
-3,8.66689E-10
-2.99,8.67791E-10
-2.98,8.67967E-10
-2.97,8.69737E-10
-2.96,8.70778E-10
-2.95,8.71432E-10
-2.94,8.72494E-10
-2.93,8.72966E-10
-2.92,8.75714E-10
-2.91,8.75495E-10
-2.9,8.76934E-10
-2.89,8.77485E-10
-2.88,8.77278E-10
-2.87,8.80077E-10
-2.86,8.79922E-10
-2.85,8.81832E-10
-2.84,8.82141E-10
-2.83,8.82923E-10
-2.82,8.85015E-10
-2.81,8.84378E-10
-2.8,8.87041E-10
-2.79,8.87178E-10
-2.78,8.88797E-10
-2.77,8.89741E-10
-2.76,8.90786E-10
-2.75,8.92541E-10
-2.74,8.92698E-10
-2.73,8.94903E-10
-2.72,8.95388E-10
-2.71,8.9664E-10
-2.7,8.9821E-10
-2.69,8.97973E-10
-2.68,9.00385E-10
-2.67,9.00892E-10
-2.66,9.01724E-10
-2.65,9.03244E-10
-2.64,9.03885E-10
-2.63,9.05915E-10
-2.62,9.06877E-10
-2.61,9.08332E-10
-2.6,9.08857E-10
-2.59,9.09329E-10
-2.58,9.12227E-10
-2.57,9.11994E-10
-2.56,9.13574E-10
-2.55,9.15187E-10
-2.54,9.15547E-10
-2.53,9.17323E-10
-2.52,9.18083E-10
-2.51,9.19464E-10
-2.5,9.20876E-10
-2.49,9.21147E-10
-2.48,9.2378E-10
-2.47,9.24029E-10
-2.46,9.25225E-10
-2.45,9.26546E-10
