Setup title,"I/V Sweep_0_1v_dark"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:01:28
Device ID,1
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,5.726E-10
0.01,7.19111E-08
0.02,1.42488E-07
0.03,2.11249E-07
0.04,2.79448E-07
0.05,3.46822E-07
0.06,4.12884E-07
0.07,4.78913E-07
0.08,5.43822E-07
0.09,6.08775E-07
0.1,6.72771E-07
0.11,7.36988E-07
0.12,8.01456E-07
0.13,8.64685E-07
0.14,9.28627E-07
0.15,9.91642E-07
0.16,1.05554E-06
0.17,1.117926E-06
0.18,1.18172E-06
0.19,1.24425E-06
0.2,1.30859E-06
0.21,1.37223E-06
0.22,1.43534E-06
0.23,1.49702E-06
0.24,1.55995E-06
0.25,1.62285E-06
0.26,1.68553E-06
0.27,1.749E-06
0.28,1.80947E-06
0.29,1.87268E-06
0.3,1.93684E-06
0.31,2.00116E-06
0.32,2.06312E-06
0.33,2.12546E-06
0.34,2.1903E-06
0.35,2.25395E-06
0.36,2.318E-06
0.37,2.38E-06
0.38,2.44319E-06
0.39,2.50509E-06
0.4,2.56894E-06
0.41,2.63108E-06
0.42,2.69483E-06
0.43,2.75565E-06
0.44,2.81702E-06
0.45,2.88075E-06
0.46,2.94455E-06
0.47,3.00751E-06
0.48,3.07247E-06
0.49,3.13678E-06
0.5,3.20696E-06
0.51,3.26654E-06
0.52,3.32723E-06
0.53,3.38902E-06
0.54,3.45421E-06
0.55,3.51771E-06
0.56,3.57729E-06
0.57,3.64831E-06
0.58,3.70714E-06
0.59,3.76675E-06
0.6,3.83768E-06
0.61,3.90068E-06
0.62,3.9554E-06
0.63,4.02359E-06
0.64,4.08252E-06
0.65,4.1501E-06
0.66,4.21383E-06
0.67,4.27925E-06
0.68,4.34351E-06
0.69,4.41795E-06
0.7,4.47966E-06
0.71,4.53547E-06
0.72,4.60165E-06
0.73,4.67115E-06
0.74,4.74118E-06
0.75,4.80813E-06
0.76,4.87312E-06
0.77,4.93902E-06
0.78,5.01329E-06
0.79,5.07286E-06
0.8,5.13604E-06
0.81,5.19359E-06
0.82,5.24611E-06
0.83,5.30998E-06
0.84,5.36074E-06
0.85,5.42581E-06
0.86,5.48905E-06
0.87,5.54383E-06
0.88,5.60143E-06
0.89,5.66492E-06
0.9,5.72514E-06
0.91,5.78421E-06
0.92,5.85683E-06
0.93,5.92017E-06
0.94,5.9824E-06
0.95,6.05122E-06
0.96,6.11287E-06
0.97,6.18777E-06
0.98,6.25886E-06
0.99,6.32742E-06
1,6.38806E-06
1,6.38542E-06
0.99,6.31519E-06
0.98,6.24905E-06
0.97,6.18525E-06
0.96,6.12024E-06
0.95,6.05982E-06
0.94,5.98851E-06
0.93,5.92338E-06
0.92,5.8661E-06
0.91,5.79092E-06
0.9,5.72387E-06
0.89,5.66173E-06
0.88,5.60534E-06
0.87,5.54721E-06
0.86,5.4832E-06
0.85,5.41651E-06
0.84,5.35074E-06
0.83,5.28984E-06
0.82,5.21893E-06
0.81,5.15818E-06
0.8,5.09304E-06
0.79,5.02564E-06
0.78,4.95829E-06
0.77,4.89064E-06
0.76,4.82404E-06
0.75,4.76489E-06
0.74,4.70307E-06
0.73,4.64361E-06
0.72,4.57673E-06
0.71,4.51787E-06
0.7,4.44543E-06
0.69,4.38471E-06
0.68,4.32024E-06
0.67,4.25267E-06
0.66,4.19226E-06
0.65,4.1238E-06
0.64,4.06265E-06
0.63,3.99962E-06
0.62,3.93811E-06
0.61,3.86787E-06
0.6,3.81288E-06
0.59,3.74705E-06
0.58,3.68436E-06
0.57,3.62527E-06
0.56,3.55974E-06
0.55,3.498E-06
0.54,3.43563E-06
0.53,3.36708E-06
0.52,3.30455E-06
0.51,3.24321E-06
0.5,3.18136E-06
0.49,3.11746E-06
0.48,3.0539E-06
0.47,2.99008E-06
0.46,2.93004E-06
0.45,2.86722E-06
0.44,2.80486E-06
0.43,2.74397E-06
0.42,2.68088E-06
0.41,2.61891E-06
0.4,2.55634E-06
0.39,2.49274E-06
0.38,2.42967E-06
0.37,2.36805E-06
0.36,2.30588E-06
0.35,2.2436E-06
0.34,2.18167E-06
0.33,2.11922E-06
0.32,2.05787E-06
0.31,1.99774E-06
0.3,1.93283E-06
0.29,1.87076E-06
0.28,1.80955E-06
0.27,1.74882E-06
0.26,1.68652E-06
0.25,1.62249E-06
0.24,1.56236E-06
0.23,1.49966E-06
0.22,1.43718E-06
0.21,1.37498E-06
