Setup title,"I/V Sweep_light_0-(-2)"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:27:33
Device ID,1
Count,3
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.02
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.59935E-08
-0.02,-1.33768E-07
-0.04,-2.92432E-07
-0.06,-4.64256E-07
-0.08,-6.5464E-07
-0.1,-8.68874E-07
-0.12,-1.117596E-06
-0.14,-1.40824E-06
-0.16,-1.7567E-06
-0.18,-2.17439E-06
-0.2,-2.67063E-06
-0.22,-3.2676E-06
-0.24,-3.96383E-06
-0.26,-4.76605E-06
-0.28,-5.68401E-06
-0.3,-6.71902E-06
-0.32,-7.8809E-06
-0.34,-9.14177E-06
-0.36,-1.053256E-05
-0.38,-1.20415E-05
-0.4,-1.36275E-05
-0.42,-1.53458E-05
-0.44,-1.7161E-05
-0.46,-1.9088E-05
-0.48,-2.10909E-05
-0.5,-2.32074E-05
-0.52,-2.54308E-05
-0.54,-2.77026E-05
-0.56,-3.004E-05
-0.58,-3.24871E-05
-0.6,-3.50078E-05
-0.62,-3.75162E-05
-0.64,-4.01482E-05
-0.66,-4.2863E-05
-0.68,-4.54579E-05
-0.7,-4.82697E-05
-0.72,-5.10219E-05
-0.74,-5.40323E-05
-0.76,-5.7014E-05
-0.78,-6.00511E-05
-0.8,-6.30397E-05
-0.82,-6.61263E-05
-0.84,-6.91198E-05
-0.86,-7.22415E-05
-0.88,-7.54117E-05
-0.9,-7.84688E-05
-0.92,-8.1698E-05
-0.94,-8.49565E-05
-0.96,-8.81844E-05
-0.98,-9.14355E-05
-1,-9.49663E-05
-1.02,-9.83548E-05
-1.04,-0.0001015367
-1.06,-0.0001050339
-1.08,-0.000108464
-1.1,-0.0001118463
-1.12,-0.000115411
-1.14,-0.000119311
-1.16,-0.000122896
-1.18,-0.000126347
-1.2,-0.000129441
-1.22,-0.000133418
-1.24,-0.000136718
-1.26,-0.000140674
-1.28,-0.00014418
-1.3,-0.000147731
-1.32,-0.000151652
-1.34,-0.00015517
-1.36,-0.000159203
-1.38,-0.000162291
-1.4,-0.000163851
-1.42,-0.000166179
-1.44,-0.000170042
-1.46,-0.000173978
-1.48,-0.000178016
-1.5,-0.000181733
-1.52,-0.000185457
-1.54,-0.000188905
-1.56,-0.000187127
-1.58,-0.000191427
-1.6,-0.000195057
-1.62,-0.000199509
-1.64,-0.000203092
-1.66,-0.000206715
-1.68,-0.000210459
-1.7,-0.000214235
-1.72,-0.000218458
-1.74,-0.000223002
-1.76,-0.000226345
-1.78,-0.000228832
-1.8,-0.000237202
-1.82,-0.000240472
-1.84,-0.000244339
-1.86,-0.000244936
-1.88,-0.000249653
-1.9,-0.000254088
-1.92,-0.000258019
-1.94,-0.000261727
-1.96,-0.000265313
-1.98,-0.000267884
-2,-0.000272827
-2,-0.000273094
-1.98,-0.000267624
-1.96,-0.00026374
-1.94,-0.000260732
-1.92,-0.000256083
-1.9,-0.000252124
-1.88,-0.000248224
-1.86,-0.000243981
-1.84,-0.000240012
-1.82,-0.000236077
-1.8,-0.000232298
-1.78,-0.000227874
-1.76,-0.000223991
-1.74,-0.000220255
-1.72,-0.000216362
-1.7,-0.000212403
-1.68,-0.000208654
-1.66,-0.000204769
-1.64,-0.000200813
-1.62,-0.000197104
-1.6,-0.000193277
-1.58,-0.000189499
-1.56,-0.000185793
-1.54,-0.000181982
-1.52,-0.000178253
-1.5,-0.000174395
-1.48,-0.000170795
-1.46,-0.000167145
-1.44,-0.000163439
-1.42,-0.000159879
-1.4,-0.000155977
-1.38,-0.000151893
-1.36,-0.000148539
-1.34,-0.000145374
-1.32,-0.000141056
-1.3,-0.000137017
-1.28,-0.000133865
-1.26,-0.000130356
-1.24,-0.000125963
-1.22,-0.000122877
-1.2,-0.000119578
-1.18,-0.000115802
-1.16,-0.000112679
-1.14,-0.00010958
-1.12,-0.000105572
-1.1,-0.000102267
-1.08,-9.8926E-05
-1.06,-9.55682E-05
-1.04,-9.28063E-05
-1.02,-8.91339E-05
-1,-8.58019E-05
-0.98,-8.26494E-05
-0.96,-7.946E-05
-0.94,-7.62893E-05
-0.92,-7.32017E-05
-0.9,-7.01194E-05
-0.88,-6.71164E-05
-0.86,-6.41727E-05
-0.84,-6.1306E-05
-0.82,-5.84316E-05
-0.8,-5.56695E-05
-0.78,-5.27779E-05
-0.76,-4.99525E-05
-0.74,-4.72723E-05
-0.72,-4.46475E-05
-0.7,-4.20496E-05
-0.68,-3.95884E-05
