Setup title,"I/V Sweep_light_0-2"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:30:14
Device ID,1
Count,4
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.001
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.001,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.25036E-08
0.01,7.87987E-08
0.02,1.44536E-07
0.03,2.082E-07
0.04,2.70335E-07
0.05,3.31409E-07
0.06,3.94311E-07
0.07,4.62728E-07
0.08,5.27992E-07
0.09,5.89063E-07
0.1,6.47306E-07
0.11,7.04688E-07
0.12,7.68161E-07
0.13,8.22163E-07
0.14,8.80463E-07
0.15,9.42724E-07
0.16,1.013135E-06
0.17,1.08046E-06
0.18,1.141961E-06
0.19,1.20344E-06
0.2,1.26596E-06
0.21,1.32434E-06
0.22,1.38581E-06
0.23,1.44797E-06
0.24,1.52062E-06
0.25,1.56067E-06
0.26,1.6232E-06
0.27,1.67039E-06
0.28,1.73603E-06
0.29,1.80919E-06
0.3,1.87898E-06
0.31,1.93818E-06
0.32,1.99012E-06
0.33,2.0444E-06
0.34,2.11462E-06
0.35,2.20644E-06
0.36,2.30084E-06
0.37,2.36939E-06
0.38,2.42411E-06
0.39,2.45312E-06
0.4,2.55819E-06
0.41,2.57667E-06
0.42,2.59175E-06
0.43,2.67706E-06
0.44,2.72508E-06
0.45,2.79217E-06
0.46,2.8476E-06
0.47,2.92071E-06
0.48,2.97652E-06
0.49,3.12148E-06
0.5,3.20427E-06
0.51,3.20765E-06
0.52,3.27247E-06
0.53,3.32284E-06
0.54,3.42292E-06
0.55,3.51903E-06
0.56,3.53723E-06
0.57,3.57245E-06
0.58,3.62554E-06
0.59,3.69572E-06
0.6,3.76851E-06
0.61,3.82307E-06
0.62,3.86283E-06
0.63,3.91681E-06
0.64,4.00067E-06
0.65,4.04667E-06
0.66,4.11722E-06
0.67,4.16277E-06
0.68,4.22553E-06
0.69,4.24749E-06
0.7,4.30739E-06
0.71,4.37643E-06
0.72,4.44708E-06
0.73,4.47394E-06
0.74,4.52873E-06
0.75,4.64427E-06
0.76,4.75436E-06
0.77,4.78878E-06
0.78,4.81781E-06
0.79,4.87933E-06
0.8,4.97031E-06
0.81,5.02771E-06
0.82,5.0396E-06
0.83,5.16554E-06
0.84,5.21874E-06
0.85,5.26231E-06
0.86,5.32929E-06
0.87,5.39907E-06
0.88,5.41709E-06
0.89,5.50315E-06
0.9,5.57856E-06
0.91,5.6152E-06
0.92,5.71211E-06
0.93,5.84602E-06
0.94,5.90011E-06
0.95,5.82994E-06
0.96,5.87639E-06
0.97,5.93261E-06
0.98,5.99428E-06
0.99,6.08606E-06
1,6.1684E-06
1.01,6.20653E-06
1.02,6.26517E-06
1.03,6.32743E-06
1.04,6.41998E-06
1.05,6.49897E-06
1.06,6.57698E-06
1.07,6.6524E-06
1.08,6.78117E-06
1.09,6.75566E-06
1.1,6.81953E-06
1.11,6.86883E-06
1.12,6.93314E-06
1.13,7.00808E-06
1.14,7.08627E-06
1.15,7.22602E-06
1.16,7.29886E-06
1.17,7.37704E-06
1.18,7.42697E-06
1.19,7.49916E-06
1.2,7.57351E-06
1.21,7.65977E-06
1.22,7.70499E-06
1.23,7.74058E-06
1.24,7.83102E-06
1.25,7.90483E-06
1.26,7.96291E-06
1.27,8.01365E-06
1.28,8.03743E-06
1.29,8.24978E-06
1.3,8.30511E-06
1.31,8.35028E-06
1.32,8.39928E-06
1.33,8.47123E-06
1.34,8.51979E-06
1.35,8.64789E-06
1.36,8.82048E-06
1.37,8.78888E-06
1.38,8.96443E-06
1.39,9.04695E-06
1.4,9.07354E-06
1.41,9.09652E-06
1.42,9.13023E-06
1.43,9.19334E-06
1.44,9.22056E-06
1.45,9.28038E-06
1.46,9.37219E-06
1.47,9.44935E-06
1.48,9.53739E-06
1.49,9.59938E-06
1.5,9.64291E-06
1.51,9.72927E-06
1.52,9.75652E-06
1.53,9.69752E-06
1.54,9.72207E-06
1.55,9.95581E-06
1.56,1.00811E-05
1.57,1.015598E-05
1.58,1.020239E-05
1.59,1.029144E-05
1.6,1.033682E-05
1.61,1.04019E-05
1.62,1.047657E-05
1.63,1.056114E-05
1.64,1.062133E-05
1.65,1.073339E-05
1.66,1.082136E-05
1.67,1.091264E-05
1.68,1.097125E-05
1.69,1.105376E-05
1.7,1.1065E-05
1.71,1.115603E-05
1.72,1.118926E-05
1.73,1.100528E-05
1.74,1.105489E-05
1.75,1.108034E-05
1.76,1.114299E-05
1.77,1.118037E-05
1.78,1.126842E-05
1.79,1.134089E-05
