Setup title,"I/V Sweep_0_-2v_dark"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,16:10:03
Device ID,1
Count,4
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,-2
Measurement.Primary.Step,-0.01
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,4.9162E-10
-0.01,-7.20593E-08
-0.02,-1.465E-07
-0.03,-2.23259E-07
-0.04,-3.02152E-07
-0.05,-3.84769E-07
-0.06,-4.71164E-07
-0.07,-5.61827E-07
-0.08,-6.57037E-07
-0.09,-7.58798E-07
-0.1,-8.67768E-07
-0.11,-9.8348E-07
-0.12,-1.109793E-06
-0.13,-1.24506E-06
-0.14,-1.39372E-06
-0.15,-1.55597E-06
-0.16,-1.73222E-06
-0.17,-1.92597E-06
-0.18,-2.13956E-06
-0.19,-2.37269E-06
-0.2,-2.62828E-06
-0.21,-2.90708E-06
-0.22,-3.2065E-06
-0.23,-3.53619E-06
-0.24,-3.88966E-06
-0.25,-4.27337E-06
-0.26,-4.68098E-06
-0.27,-5.12093E-06
-0.28,-5.59007E-06
-0.29,-6.08272E-06
-0.3,-6.60315E-06
-0.31,-7.15791E-06
-0.32,-7.74772E-06
-0.33,-8.35758E-06
-0.34,-8.99546E-06
-0.35,-9.65896E-06
-0.36,-1.036013E-05
-0.37,-1.108574E-05
-0.38,-1.1834E-05
-0.39,-1.26226E-05
-0.4,-1.34237E-05
-0.41,-1.42627E-05
-0.42,-1.51301E-05
-0.43,-1.60133E-05
-0.44,-1.69219E-05
-0.45,-1.78578E-05
-0.46,-1.88003E-05
-0.47,-1.97738E-05
-0.48,-2.07795E-05
-0.49,-2.18185E-05
-0.5,-2.28738E-05
-0.51,-2.39532E-05
-0.52,-2.50556E-05
-0.53,-2.6186E-05
-0.54,-2.73278E-05
-0.55,-2.84906E-05
-0.56,-2.96577E-05
-0.57,-3.08656E-05
-0.58,-3.20951E-05
-0.59,-3.33441E-05
-0.6,-3.46096E-05
-0.61,-3.58756E-05
-0.62,-3.71639E-05
-0.63,-3.84892E-05
-0.64,-3.98028E-05
-0.65,-4.11529E-05
-0.66,-4.25657E-05
-0.67,-4.39623E-05
-0.68,-4.53047E-05
-0.69,-4.6725E-05
-0.7,-4.8207E-05
-0.71,-4.9612E-05
-0.72,-5.00063E-05
-0.73,-5.00063E-05
-0.74,-5.00062E-05
-0.75,-5.00062E-05
-0.76,-5.00063E-05
-0.77,-5.00063E-05
-0.78,-5.00063E-05
-0.79,-5.00063E-05
-0.8,-5.00062E-05
-0.81,-5.00062E-05
-0.82,-5.00063E-05
-0.83,-5.00062E-05
-0.84,-5.00062E-05
-0.85,-5.00062E-05
-0.86,-5.00062E-05
-0.87,-5.00062E-05
-0.88,-5.00062E-05
-0.89,-5.00062E-05
-0.9,-5.00062E-05
-0.91,-5.00063E-05
-0.92,-5.00063E-05
-0.93,-5.00063E-05
-0.94,-5.00063E-05
-0.95,-5.00063E-05
-0.96,-5.00063E-05
-0.97,-5.00062E-05
-0.98,-5.00063E-05
-0.99,-5.00063E-05
-1,-5.00064E-05
-1.01,-5.00063E-05
-1.02,-5.00062E-05
-1.03,-5.00063E-05
-1.04,-5.00063E-05
-1.05,-5.00064E-05
-1.06,-5.00063E-05
-1.07,-5.00064E-05
-1.08,-5.00064E-05
-1.09,-5.00064E-05
-1.1,-5.00063E-05
-1.11,-5.00063E-05
-1.12,-5.00064E-05
-1.13,-5.00063E-05
-1.14,-5.00063E-05
-1.15,-5.00064E-05
-1.16,-5.00063E-05
-1.17,-5.00063E-05
-1.18,-5.00063E-05
-1.19,-5.00064E-05
-1.2,-5.00063E-05
-1.21,-5.00063E-05
-1.22,-5.00063E-05
-1.23,-5.00064E-05
-1.24,-5.00063E-05
-1.25,-5.00062E-05
-1.26,-5.00063E-05
-1.27,-5.00063E-05
-1.28,-5.00062E-05
-1.29,-5.00063E-05
-1.3,-5.00063E-05
-1.31,-5.00063E-05
-1.32,-5.00063E-05
-1.33,-5.00063E-05
-1.34,-5.00063E-05
-1.35,-5.00063E-05
-1.36,-5.00064E-05
-1.37,-5.00064E-05
-1.38,-5.00063E-05
-1.39,-5.00064E-05
-1.4,-5.00063E-05
-1.41,-5.00063E-05
-1.42,-5.00063E-05
-1.43,-5.00063E-05
-1.44,-5.00063E-05
-1.45,-5.00063E-05
-1.46,-5.00064E-05
-1.47,-5.00063E-05
-1.48,-5.00064E-05
-1.49,-5.00064E-05
-1.5,-5.00063E-05
-1.51,-5.00063E-05
-1.52,-5.00063E-05
-1.53,-5.00063E-05
